# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
OG0003408	tr|A0A1S3AZE6|A0A1S3AZE6_CUCME	***	receptor-like protein 51		
OG0003407	tr|A0A1S3AZN2|A0A1S3AZN2_CUCME	***	dnaJ protein homolog 1-like		
OG0003409	tr|A0A6J1EGX3|A0A6J1EGX3_CUCMO	***	(S)-2-hydroxy-acid oxidase		
OG0003411	tr|A0A2P5EIN4|A0A2P5EIN4_TREOI	***	Transmembrane protein		
OG0003410	tr|A0A0A0KKV9|A0A0A0KKV9_CUCSA	***	Hydrolase_4 domain-containing protein		
OG0003413	tr|A0A5A7UB50|A0A5A7UB50_CUCME	***	DNA polymerase eta		
OG0003412	tr|A0A0A0KPC9|A0A0A0KPC9_CUCSA	***	Gb3_synth domain-containing protein		
OG0003415	tr|A0A5A7SYM4|A0A5A7SYM4_CUCME	***	Protein RADIALIS-like 1		
OG0003414	tr|A0A5A7UD59|A0A5A7UD59_CUCME	***	Haloacid dehalogenase-like hydrolase domain-containing protein 3		
OG0003417	tr|A0A1S3BIB1|A0A1S3BIB1_CUCME	***	isoflavone reductase-like protein		
OG0003416	tr|A0A1S3BJH6|A0A1S3BJH6_CUCME	***	transcription factor bHLH49-like		
OG0015460	tr|A0A1S3C020|A0A1S3C020_CUCME	***	Phosphatidylserine decarboxylase proenzyme 2		
OG0015461	AT1G03050.1	***	ENTH/ANTH/VHS superfamily protein		
OG0015462	tr|A0A0A0K5V8|A0A0A0K5V8_CUCSA	***	Peroxidase		
OG0015463	tr|A0A1S3C199|A0A1S3C199_CUCME	***	Laccase		
OG0015464	tr|A0A5A7SQB0|A0A5A7SQB0_CUCME	***	Heavy metal-associated isoprenylated plant protein 3-like		
OG0015465	tr|A0A1S3C0F0|A0A1S3C0F0_CUCME	***	BAG family molecular chaperone regulator 7		
OG0015466	tr|A0A1S3C0J6|A0A1S3C0J6_CUCME	***	sulfate transporter 1.2-like		
OG0015467	tr|A0A5A7SN90|A0A5A7SN90_CUCME	***	Chaperone protein dnaJ 20		
OG0015468	tr|A0A5A7SQU3|A0A5A7SQU3_CUCME	***	Non-specific lipid-transfer protein-like protein		
OG0015469	tr|A0A1S3C1M9|A0A1S3C1M9_CUCME	***	Peroxidase		
OG0003480	tr|A0A1S3C174|A0A1S3C174_CUCME	*-*	pentatricopeptide repeat-containing protein At4g18975, chloroplastic		
OG0003482	AT3G50170.2	*-*	Plant protein of unknown function (DUF247)		
OG0003481	tr|A0A1S3C0K6|A0A1S3C0K6_CUCME	***	beta-xylosidase/alpha-L-arabinofuranosidase 1-like		
OG0003484	AT2G19990.1	***	pathogenesis-related protein-1-like		
OG0003483	tr|A0A5A7SPI3|A0A5A7SPI3_CUCME	***	Myb-like protein X isoform X3		
OG0003486	AT2G19990.1	***	pathogenesis-related protein-1-like		
OG0003485	tr|A0A1S3C197|A0A1S3C197_CUCME	***	basic form of pathogenesis-related protein 1-like		
OG0003488	tr|E5FP99|E5FP99_POPTO	***	Pathogenesis related protein-1		
OG0003487	tr|A0A4Y1S0N1|A0A4Y1S0N1_PRUDU	***	Pathogenesis-related protein-1-like protein		
OG0003489	tr|A0A6J1GLT8|A0A6J1GLT8_CUCMO	***	pathogenesis-related protein 1-like		
OG0015450	tr|A0A2P5DMB0|A0A2P5DMB0_PARAD	***	Nuclear transcription factor Y subunit C		
OG0015451	tr|A0A2R6R293|A0A2R6R293_ACTCC	***	Dynamin-like protein		
OG0015452	tr|A0A0A0K3W1|A0A0A0K3W1_CUCSA	***	FHA domain-containing protein		
OG0015453	tr|A0A1S3C0M5|A0A1S3C0M5_CUCME	***	protein SHI RELATED SEQUENCE 1		
OG0015454	tr|A0A6J1FRC8|A0A6J1FRC8_CUCMO	***	glycine-rich RNA-binding protein 2-like		
OG0015455	tr|A0A1R3HYL8|A0A1R3HYL8_9ROSI	***	Zinc finger, B-box		
OG0015456	sp|O81221|ACT_GOSHI	***	Actin		
OG0015457	tr|A0A1S3C0H1|A0A1S3C0H1_CUCME	***	mediator of RNA polymerase II transcription subunit 15a		
OG0015458	tr|A0A2Z6M775|A0A2Z6M775_TRISU	***	KIX_2 domain-containing protein		
OG0015459	tr|A0A0A0K5V4|A0A0A0K5V4_CUCSA	***	NAC domain-containing protein		
OG0003471	tr|A0A5H2XPL7|A0A5H2XPL7_PRUDU	***	Outer arm dynein light chain 1 protein		
OG0003470	tr|A0A5D3C9R2|A0A5D3C9R2_CUCME	***	Methyltransferase type 11		
OG0003473	tr|A0A0A0K5M9|A0A0A0K5M9_CUCSA	***	SPARK domain-containing protein		
OG0003472	tr|A0A5A7SN15|A0A5A7SN15_CUCME	***	5' exonuclease Apollo		
OG0003475	tr|A0A5A7SLJ2|A0A5A7SLJ2_CUCME	***	Wound-responsive family protein		
OG0003474	tr|A0A061FE68|A0A061FE68_THECC	***	2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase		
OG0003477	AT1G60140.1	***	trehalose phosphate synthase		
OG0003476	tr|A0A1S3C1B9|A0A1S3C1B9_CUCME	***	protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 10		
OG0003479	tr|A0A0A0K1X6|A0A0A0K1X6_CUCSA	***	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1		
OG0003478	tr|A0A0A0K2E6|A0A0A0K2E6_CUCSA	***	ADP/ATP translocase		
OG0015440	tr|A0A1S3C044|A0A1S3C044_CUCME	***	leucine-rich repeat extensin-like protein 4		
OG0015441	tr|A0A0A0K1W0|A0A0A0K1W0_CUCSA	***	Diacylglycerol O-acyltransferase		
OG0015442	tr|A0A1S4E0D6|A0A1S4E0D6_CUCME	***	Diacylglycerol O-acyltransferase		
OG0015443	tr|A0A0A0K2E9|A0A0A0K2E9_CUCSA	***	Diacylglycerol O-acyltransferase		
OG0015444	tr|A0A1S3C1R9|A0A1S3C1R9_CUCME	***	inactive TPR repeat-containing thioredoxin TTL3-like		
OG0015445	tr|A0A0A0K5T7|A0A0A0K5T7_CUCSA	***	Ketol-acid reductoisomerase		
OG0015446	tr|A0A0A0K2F3|A0A0A0K2F3_CUCSA	***	Glycosyltransferase		
OG0015447	AT2G43850.1	***	Integrin-linked protein kinase family		
OG0015448	tr|A0A1S3C1S4|A0A1S3C1S4_CUCME	***	UDP-glycosyltransferase 74F2-like		
OG0015449	tr|A0A0A0K762|A0A0A0K762_CUCSA	***	Glycosyltransferase		
OG0003460	tr|A0A5A7T9T3|A0A5A7T9T3_CUCME	***	Mitogen-activated protein kinase kinase kinase 2		
OG0003462	tr|A0A0A0K1M2|A0A0A0K1M2_CUCSA	***	Glutamate receptor		
OG0003461	tr|A0A1S3C0X5|A0A1S3C0X5_CUCME	***	S-type anion channel SLAH1-like		
OG0003464	tr|A0A1S3C0E3|A0A1S3C0E3_CUCME	***	cysteine-rich repeat secretory protein 38-like		
OG0003463	AT4G15240.1	***	Protein of unknown function (DUF604)		
OG0003466	tr|A0A5A7SR65|A0A5A7SR65_CUCME	***	Histone-lysine N-methyltransferase ATXR3		
OG0003465	tr|A0A1S3C1J7|A0A1S3C1J7_CUCME	***	cysteine-rich repeat secretory protein 38-like		
OG0003468	tr|A0A2R6QCD3|A0A2R6QCD3_ACTCC	***	Actin cytoskeleton-regulatory complex protein		
OG0003467	tr|N0DX47|N0DX47_CUCSA	***	Xyloglucan endotransglucosylase/hydrolase		
OG0003469	tr|A0A1S3C0C6|A0A1S3C0C6_CUCME	***	fasciclin-like arabinogalactan protein 21		
OG0015430	tr|E7CEY2|E7CEY2_CUCSA	***	WRKY protein		
OG0015431	tr|A0A5A7SMX1|A0A5A7SMX1_CUCME	***	Ras-related protein Rab11D		
OG0015432	tr|A0A5A7SLF2|A0A5A7SLF2_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0015433	tr|A0A5A7SQG5|A0A5A7SQG5_CUCME	***	ATP-dependent zinc metalloprotease FTSH 2		
OG0015434	tr|A0A6J1JPC8|A0A6J1JPC8_CUCMA	***	E3 ubiquitin-protein ligase EL5		
OG0015435	tr|V5QP37|V5QP37_MOMCH	***	Ethylene-responsive transcription factor		
OG0015436	tr|A0A0A0K5S6|A0A0A0K5S6_CUCSA	***	Phospholipid-transporting ATPase		
OG0015437	tr|A0A1S3C0P5|A0A1S3C0P5_CUCME	***	zinc finger CCCH domain-containing protein 2-like		
OG0015438	tr|A0A5A7SMW7|A0A5A7SMW7_CUCME	***	Protein TPX2		
OG0015439	tr|A0A1S3C1A0|A0A1S3C1A0_CUCME	***	mitotic checkpoint serine/threonine-protein kinase BUB1		
OG0003451	tr|A0A0A0K162|A0A0A0K162_CUCSA	***	OBERON-like protein		
OG0003450	tr|A0A0A0K1T1|A0A0A0K1T1_CUCSA	***	Protein FAR1-RELATED SEQUENCE		
OG0003453	tr|A0A1S3CG80|A0A1S3CG80_CUCME	***	N-acetyltransferase 9-like protein		
OG0003452	tr|A0A1S3CHM9|A0A1S3CHM9_CUCME	***	BTB/POZ domain-containing protein At5g48130		
OG0003455	tr|A0A5A7UTC3|A0A5A7UTC3_CUCME	***	Glutamic acid-rich protein-like		
OG0003454	tr|A0A6A3AEV9|A0A6A3AEV9_HIBSY	***	Protochlorophyllide reductase		
OG0003457	tr|A0A1S3C160|A0A1S3C160_CUCME	***	translation initiation factor IF-2 isoform X1		
OG0003456	tr|A0A2P5FJ91|A0A2P5FJ91_TREOI	***	Phosphorelay protein		
OG0003459	tr|A0A0A0K229|A0A0A0K229_CUCSA	***	Cytochrome b561 and DOMON domain-containing protein		
OG0003458	tr|A0A1S3C0Z5|A0A1S3C0Z5_CUCME	***	homeobox protein knotted-1-like LET6		
OG0015491	tr|A0A1S8AEN5|A0A1S8AEN5_CITLI	***	12-oxophytodienoate reductase		
OG0015492	AT5G64250.2	***	Aldolase-type TIM barrel family protein		
OG0015493	tr|A0A0A0K233|A0A0A0K233_CUCSA	***	Phospho-2-dehydro-3-deoxyheptonate aldolase		
OG0015494	tr|A0A1S3C0E7|A0A1S3C0E7_CUCME	***	2-carboxy-1,4-naphthoquinone phytyltransferase, chloroplastic		
OG0015495	tr|A0A0A0K618|A0A0A0K618_CUCSA	***	DNA helicase		
OG0015496	tr|A0A6J1CJN4|A0A6J1CJN4_MOMCH	***	extensin-like		
OG0015497	tr|A0A6J1CJM5|A0A6J1CJM5_MOMCH	-**	classical arabinogalactan protein 1-like		
OG0015498			Unknown protein		
OG0015499	tr|A0A1S4E0I4|A0A1S4E0I4_CUCME	***	Alkyl transferase		
OG0015490	tr|A0A1S8AEN5|A0A1S8AEN5_CITLI	***	12-oxophytodienoate reductase		
OG0015480	tr|A0A1S3BZZ1|A0A1S3BZZ1_CUCME	***	copper-transporting ATPase PAA1, chloroplastic-like		
OG0015481	tr|A0A1S3C137|A0A1S3C137_CUCME	***	calmodulin-binding transcription activator 2 isoform X2		
OG0015482	tr|A0A5D3C6K7|A0A5D3C6K7_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0015483	tr|A0A6J1JNL1|A0A6J1JNL1_CUCMA	***	tobamovirus multiplication protein 1-like		
OG0015484	tr|A0A1S3C0G8|A0A1S3C0G8_CUCME	***	outer envelope protein 64, mitochondrial		
OG0015485	tr|A0A1S3BZX6|A0A1S3BZX6_CUCME	***	metacaspase-1		
OG0015486	tr|A0A1S3C117|A0A1S3C117_CUCME	***	Glycosyltransferase		
OG0015487	tr|A0A1S3C117|A0A1S3C117_CUCME	***	Glycosyltransferase		
OG0015488	tr|A0A1S4E0D7|A0A1S4E0D7_CUCME	***	Glycosyltransferase		
OG0015489	tr|A0A5D3C6F9|A0A5D3C6F9_CUCME	***	Glycosyltransferase		
OG0015470	tr|A0A0A0K201|A0A0A0K201_CUCSA	***	Peroxidase		
OG0015471	tr|A0A0A0K5Y2|A0A0A0K5Y2_CUCSA	***	CRM domain-containing protein		
OG0015472			Unknown protein		
OG0015473	tr|A0A1S3C0E5|A0A1S3C0E5_CUCME	***	3',5'-nucleoside bisphosphate phosphatase		
OG0015474			Unknown protein		
OG0015475	tr|A0A0A0K5Y8|A0A0A0K5Y8_CUCSA	***	Annexin		
OG0015476	tr|A0A5N5I6Z7|A0A5N5I6Z7_9ROSA	***	Tropomyosin-like		
OG0015477	tr|A0A1S3C146|A0A1S3C146_CUCME	***	CD2 antigen cytoplasmic tail-binding protein 2 homolog		
OG0015478	tr|A0A0A0K211|A0A0A0K211_CUCSA	***	Protein kinase domain-containing protein		
OG0015479	tr|A0A1S3C0I4|A0A1S3C0I4_CUCME	***	serine/arginine-rich splicing factor SC35		
OG0003491	tr|A0A1S3BZL1|A0A1S3BZL1_CUCME	***	isoflavone reductase-like protein		
OG0003490	tr|A0A1S3C050|A0A1S3C050_CUCME	***	pathogenesis-related protein 1-like		
OG0003493	tr|A0A1S3C121|A0A1S3C121_CUCME	***	stress enhanced protein 1, chloroplastic		
OG0003492	tr|A0A6J1I610|A0A6J1I610_CUCMA	***	myosin-9 isoform X1		
OG0003495	tr|A0A1S4E0B2|A0A1S4E0B2_CUCME	***	armadillo repeat-containing protein 6		
OG0003494	tr|A0A6J1GLJ4|A0A6J1GLJ4_CUCMO	***	ABSCISIC ACID-INSENSITIVE 5-like protein 6		
OG0003497	tr|A0A6J1ICT5|A0A6J1ICT5_CUCMA	***	mRNA decay activator protein ZFP36L2-like isoform X2		
OG0003496	tr|A0A5D3C5W0|A0A5D3C5W0_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0003499	tr|A0A2R6P537|A0A2R6P537_ACTCC	***	Pre-mRNA-splicing factor like		
OG0003498	tr|A0A1S3C8X0|A0A1S3C8X0_CUCME	*-*	mitochondrial-processing peptidase subunit alpha-like		
OG0001735	tr|A0A0A0LHD2|A0A0A0LHD2_CUCSA	***	Clp R domain-containing protein		
OG0025702			Unknown protein		
OG0001736	tr|A0A0A0LGX6|A0A0A0LGX6_CUCSA	***	Auxin response factor		
OG0025703			Unknown protein		
OG0001737	tr|A0A6J1K240|A0A6J1K240_CUCMA	***	cytochrome P450 CYP73A100-like		
OG0025700	tr|A0A200R928|A0A200R928_9MAGN	***	Anaphase-promoting complex		
OG0001738	tr|A0A5A7TWX9|A0A5A7TWX9_CUCME	***	Protease Do-like 10		
OG0025701			Unknown protein		
OG0001739	tr|A0A1S3B484|A0A1S3B484_CUCME	***	ATP-dependent helicase ATRX		
OG0013719	tr|A0A0A0K9J9|A0A0A0K9J9_CUCSA	***	SASA domain-containing protein		
OG0013718	tr|A0A0A0KEF5|A0A0A0KEF5_CUCSA	***	Chlorophyll a-b binding protein, chloroplastic		
OG0013717	AT2G40620.1	*-*	Basic-leucine zipper (bZIP) transcription factor family protein		
OG0013716	tr|A0A061FJ80|A0A061FJ80_THECC	***	Vacuolar iron transporter family protein		
OG0013715	tr|A0A5D3DGZ3|A0A5D3DGZ3_CUCME	***	Protein ROOT PRIMORDIUM DEFECTIVE 1		
OG0013714	tr|A0A1S3B4E1|A0A1S3B4E1_CUCME	***	U6 snRNA-associated Sm-like protein LSm3		
OG0013724	tr|A0A5D3DMR7|A0A5D3DMR7_CUCME	***	Myosin-6-like		
OG0013723	tr|A0A0A0KYR7|A0A0A0KYR7_CUCSA	***	Kri1_C domain-containing protein		
OG0013722	sp|Q42896|SCRK2_SOLLC	***	Fructokinase-2		
OG0013721	tr|A0A2P5FPS2|A0A2P5FPS2_TREOI	***	CAP domain containing protein		
OG0013720	tr|A0A0A0KET1|A0A0A0KET1_CUCSA	***	LRRNT_2 domain-containing protein		
OG0001740	tr|A0A6A1WM57|A0A6A1WM57_9ROSI	***	INO80 complex subunit C		
OG0001741	tr|A0A5A7V978|A0A5A7V978_CUCME	***	Defensin-like protein		
OG0001742	tr|A0A6J1FIQ8|A0A6J1FIQ8_CUCMO	***	protein ILITYHIA		
OG0001743	AT1G65450.1	***	HXXXD-type acyl-transferase family protein		
OG0001744	tr|A0A0A0LN08|A0A0A0LN08_CUCSA	***	NB-ARC domain-containing protein		
OG0001745	tr|A0A0A0LN24|A0A0A0LN24_CUCSA	***	Expansin		
OG0001724	tr|A0A1S3BTD3|A0A1S3BTD3_CUCME	***	(R)-mandelonitrile lyase 1-like		
OG0001725	tr|A0A1S3BTC3|A0A1S3BTC3_CUCME	***	(R)-mandelonitrile lyase 1-like		
OG0001726	tr|A0A2P5APW9|A0A2P5APW9_PARAD	***	Chlorophyll A-B binding protein		
OG0001727	tr|A0A0A0LH98|A0A0A0LH98_CUCSA	***	Auxin-responsive protein		
OG0001728	tr|A0A6J1I093|A0A6J1I093_CUCMA	***	afadin- and alpha-actinin-binding protein-like		
OG0001729	tr|A0A061GQS5|A0A061GQS5_THECC	***	OSBP(Oxysterol binding protein)-related protein 4B, putative		
OG0013709			Unknown protein		
OG0013708	tr|A0A6A1W6M4|A0A6A1W6M4_9ROSI	***	30S ribosomal protein S1		
OG0013707	tr|A0A2R6Q0U8|A0A2R6Q0U8_ACTCC	***	Phospho-N-acetylmuramoyl-pentapeptide-transferase		
OG0013706	tr|A0A2P5BJK6|A0A2P5BJK6_PARAD	***	WD repeat protein		
OG0013705	tr|A0A6J1BZJ9|A0A6J1BZJ9_MOMCH	***	tRNA pseudouridine(38/39) synthase		
OG0013704	tr|A0A0A0KEA7|A0A0A0KEA7_CUCSA	***	F-actin-capping protein subunit beta		
OG0013703	tr|A0A0A0K8N2|A0A0A0K8N2_CUCSA	***	CS domain-containing protein		
OG0013713	tr|A0A5A7TZL0|A0A5A7TZL0_CUCME	***	UDP-galactose transporter 2-like		
OG0013712	tr|A0A1S3C3Y1|A0A1S3C3Y1_CUCME	***	carboxypeptidase SOL1 isoform X1		
OG0013711	tr|A0A0A0KEB8|A0A0A0KEB8_CUCSA	***	Prolamin_like domain-containing protein		
OG0013710	tr|A0A6A2ZMN8|A0A6A2ZMN8_HIBSY	***	Expansin-A1-like		
OG0001730	tr|A0A0A0LJA0|A0A0A0LJA0_CUCSA	***	40S ribosomal protein S8		
OG0001731	tr|A0A1S3BRY9|A0A1S3BRY9_CUCME	***	VIN3-like protein 2		
OG0001732	tr|B3VDR8|B3VDR8_CUCSA	***	Plasma membrane ATPase		
OG0001733	tr|A0A0A0LKA7|A0A0A0LKA7_CUCSA	***	Glucose-6-phosphate 1-epimerase		
OG0001734	tr|A0A6J1EPK8|A0A6J1EPK8_CUCMO	***	transcription factor bHLH35-like		
OG0001713	tr|A0A5N5H6B0|A0A5N5H6B0_9ROSA	***	Loricrin		
OG0001714	tr|A0A1S3BVL6|A0A1S3BVL6_CUCME	***	leucine aminopeptidase 1-like		
OG0001715	tr|A0A6J1G2Q2|A0A6J1G2Q2_CUCMO	***	TOM1-like protein 1		
OG0001716	tr|A0A0A0LM68|A0A0A0LM68_CUCSA	***	Exostosin domain-containing protein		
OG0001717			Unknown protein		
OG0001718	tr|A0A0A0LGN6|A0A0A0LGN6_CUCSA	***	S-adenosylmethionine decarboxylase proenzyme		
OG0001719	tr|A0A2P5FNI3|A0A2P5FNI3_TREOI	***	S-adenosyl-l-methionine decarboxylase leader peptide		
OG0013702	tr|A0A5D3C205|A0A5D3C205_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0013701	tr|A0A0A0K9G3|A0A0A0K9G3_CUCSA	***	NAC domain-containing protein		
OG0013700	tr|A0A1S3C3F6|A0A1S3C3F6_CUCME	***	cleavage stimulating factor 64		
OG0001720	AT2G47270.1	--*	sequence-specific DNA binding transcription factors;transcription regulators		
OG0001721	tr|A0A5D3CK75|A0A5D3CK75_CUCME	***	Transcription factor IBH1		
OG0001722	tr|A0A0A0LK73|A0A0A0LK73_CUCSA	***	Xylose isomerase		
OG0001723	tr|A0A1S3BTS5|A0A1S3BTS5_CUCME	***	(R)-mandelonitrile lyase 1-like		
OG0001702	tr|A0A1S4E0A6|A0A1S4E0A6_CUCME	***	50S ribosomal protein L27-like		
OG0001703	tr|A0A1S3BYA5|A0A1S3BYA5_CUCME	***	Lipoxygenase		
OG0001704	tr|M4Y0Z5|M4Y0Z5_CUCSA	***	Lipoxygenase		
OG0001705	tr|A0A1S3BYM1|A0A1S3BYM1_CUCME	*-*	DNA polymerase zeta catalytic subunit		
OG0001706			Unknown protein		
OG0001707	tr|A0A1S3BY71|A0A1S3BY71_CUCME	***	CST complex subunit TEN1		
OG0001708	tr|A0A0A0LLZ4|A0A0A0LLZ4_CUCSA	***	ATP-dependent DNA helicase		
OG0001709	tr|A0A0A0LM44|A0A0A0LM44_CUCSA	***	Importin subunit alpha		
OG0001710	tr|A0A6J1DQI9|A0A6J1DQI9_MOMCH	***	transcription factor PIF3-like		
OG0001711	tr|A0A2P5DRA4|A0A2P5DRA4_TREOI	*-*	MYB transcription factor		
OG0001712	tr|A0A0A0LK24|A0A0A0LK24_CUCSA	***	Germin-like protein		
OG0001779	tr|A0A0A0LP91|A0A0A0LP91_CUCSA	***	Protein RER1		
OG0025746	tr|A0A1S3BUL0|A0A1S3BUL0_CUCME	*-*	Tryptophanyl-tRNA synthetase		
OG0025747	tr|A0A5A7UYK5|A0A5A7UYK5_CUCME	*-*	Disease resistance protein RGA2-like		
OG0025744	tr|A0A5A7VCZ2|A0A5A7VCZ2_CUCME	*-*	Pentatricopeptide repeat-containing protein		
OG0025745			Unknown protein		
OG0025742	tr|A0A1S3BTV6|A0A1S3BTV6_CUCME	*-*	zinc finger CCCH domain-containing protein 20-like		
OG0025743	tr|A0A1S3ATI9|A0A1S3ATI9_CUCME	***	arabinogalactan peptide 22-like		
OG0025740	tr|A0A5A7U5B9|A0A5A7U5B9_CUCME	*-*	CCHC-type domain-containing protein		
OG0025741			Unknown protein		
OG0013759	tr|A0A6J1JXL5|A0A6J1JXL5_CUCMA	***	major pollen allergen Ole e 6-like		
OG0013758	tr|E1AVV3|E1AVV3_CUCSA	***	Carotenoid cleavage dioxygenase 7		
OG0011105	tr|A0A5A7VEH8|A0A5A7VEH8_CUCME	***	Actin cytoskeleton-regulatory complex protein pan1, putative isoform 1		
OG0013768	tr|A0A0A0KDU5|A0A0A0KDU5_CUCSA	***	NAC domain-containing protein		
OG0011106	tr|A0A6J1IGZ1|A0A6J1IGZ1_CUCMA	***	sodium/calcium exchanger NCL-like		
OG0013767	tr|A0A0A0KAP4|A0A0A0KAP4_CUCSA	***	Agglutinin domain-containing protein		
OG0011103	tr|A0A0A0L035|A0A0A0L035_CUCSA	***	AAA domain-containing protein		
OG0013766	tr|A0A5D3DMB4|A0A5D3DMB4_CUCME	***	Agglutinin domain-containing protein		
OG0011104	tr|A0A1S3CJX5|A0A1S3CJX5_CUCME	***	transcription factor TCP4		
OG0013765	AT1G33970.5	*-*	P-loop containing nucleoside triphosphate hydrolases superfamily protein		
OG0011101	tr|A0A5A7VK64|A0A5A7VK64_CUCME	***	Fiber Fb32-like protein isoform 3		
OG0013764	tr|A0A1S3CB02|A0A1S3CB02_CUCME	***	aluminum-activated malate transporter 10		
OG0011102	tr|A0A2P5BA66|A0A2P5BA66_PARAD	--*	CLAVATA3/ESR (CLE)-related protein		
OG0013763	tr|A0A5A7TCH3|A0A5A7TCH3_CUCME	***	Calcium-binding EF-hand family protein		
OG0001780	tr|A0A5D3DZJ5|A0A5D3DZJ5_CUCME	***	F-box family protein, putative isoform 1		
OG0013762	tr|A0A6J1H684|A0A6J1H684_CUCMO	***	CDPK-related kinase 3-like		
OG0001781	tr|A0A1S4E308|A0A1S4E308_CUCME	***	SNF1-related protein kinase regulatory subunit gamma-1-like		
OG0011100	tr|A0A1S4E4E1|A0A1S4E4E1_CUCME	***	increased DNA methylation 1 isoform X1		
OG0013761	tr|E5GCM6|E5GCM6_CUCME	***	Auxin-responsive family protein		
OG0001782	tr|A0A0A0LJ10|A0A0A0LJ10_CUCSA	***	Glucose-1-phosphate adenylyltransferase		
OG0013760	tr|A0A1S3C530|A0A1S3C530_CUCME	***	major pollen allergen Ole e 6-like		
OG0001783	tr|A0A1S4E3R6|A0A1S4E3R6_CUCME	***	NADPH-dependent 1-acyldihydroxyacetone phosphate reductase-like		
OG0001784	tr|A0A2P5CVU2|A0A2P5CVU2_PARAD	***	tRNA-methyltransferase non-catalytic subunit trm6MTase subunit		
OG0001785	tr|A0A5D3DYK8|A0A5D3DYK8_CUCME	***	Bifunctional dihydrofolate reductase-thymidylate synthase		
OG0001786	tr|A0A2P5DVR4|A0A2P5DVR4_TREOI	***	Diaminopimelate decarboxylase		
OG0025739			Unknown protein		
OG0001787	tr|A0A6J1KX26|A0A6J1KX26_CUCMA	***	phosphatidylinositol/phosphatidylcholine transfer protein SFH3-like		
OG0001788	tr|A0A1S3CD55|A0A1S3CD55_CUCME	***	phosphatidylinositol/phosphatidylcholine transfer protein SFH8-like		
OG0025737	tr|A0A2C9UJP6|A0A2C9UJP6_MANES	*-*	Lactamase_B domain-containing protein		
OG0001789	tr|A0A1S3CDN8|A0A1S3CDN8_CUCME	***	bZIP transcription factor 53-like		
OG0025738			Unknown protein		
OG0001768	tr|A0A0A0LIP9|A0A0A0LIP9_CUCSA	***	Adenylyl cyclase-associated protein		
OG0025735	tr|A0A0A0KWY0|A0A0A0KWY0_CUCSA	*-*	AP-4 complex subunit epsilon		
OG0001769	tr|A0A0A0LP69|A0A0A0LP69_CUCSA	***	Protein kinase domain-containing protein		
OG0025736	tr|A0A6P5ZUP1|A0A6P5ZUP1_DURZI	*-*	COP9 signalosome complex subunit 2		
OG0025733			Unknown protein		
OG0025734			Unknown protein		
OG0025731	tr|A0A1S3BX35|A0A1S3BX35_CUCME	*-*	vam6/Vps39-like protein		
OG0025732	tr|A0A1S3BX35|A0A1S3BX35_CUCME	*-*	vam6/Vps39-like protein		
OG0025730			Unknown protein		
OG0013749	tr|A0A1S3CB22|A0A1S3CB22_CUCME	***	Elongation factor G, mitochondrial		
OG0013748	tr|A0A5N5G1G7|A0A5N5G1G7_9ROSA	***	Pre-mRNA-processing factor 6-like		
OG0013747	tr|A0A1S3CB17|A0A1S3CB17_CUCME	***	COP9 signalosome complex subunit 7 isoform X1		
OG0013757	tr|A0A0A0KFM2|A0A0A0KFM2_CUCSA	***	Glycine--tRNA ligase		
OG0013756	tr|A0A6J1H755|A0A6J1H755_CUCMO	***	RGG repeats nuclear RNA binding protein A-like		
OG0013755	tr|A0A6J1EYL0|A0A6J1EYL0_CUCMO	***	RGG repeats nuclear RNA binding protein A-like		
OG0013754	tr|A0A0A0KAN4|A0A0A0KAN4_CUCSA	***	Protein kinase domain-containing protein		
OG0013753	tr|A0A5A7T8K5|A0A5A7T8K5_CUCME	***	Autophagy-related protein 3		
OG0013752	tr|A0A0B0MB02|A0A0B0MB02_GOSAR	***	Chromodomain-helicase-DNA-binding protein 1-like protein		
OG0013751	AT3G60320.1	***	Protein of unknown function (DUF630 and DUF632)		
OG0001770	tr|A0A6J1FRL7|A0A6J1FRL7_CUCMO	***	glycine-rich RNA-binding protein-like		
OG0013750	tr|A0A1S3CAZ1|A0A1S3CAZ1_CUCME	***	Leucine carboxyl methyltransferase 1 homolog		
OG0001771	tr|A0A0A0LLY6|A0A0A0LLY6_CUCSA	***	AB hydrolase-1 domain-containing protein		
OG0001772	tr|A0A5D3DY78|A0A5D3DY78_CUCME	***	Transcription factor bHLH78		
OG0001773	AT2G21620.1	***	Adenine nucleotide alpha hydrolases-like superfamily protein		
OG0001774	tr|A0A0A0LP84|A0A0A0LP84_CUCSA	***	Pectinesterase		
OG0001775	tr|A0A0A0LLZ1|A0A0A0LLZ1_CUCSA	***	NmrA domain-containing protein		
OG0025728			Unknown protein		
OG0001776	tr|A0A1S3CE33|A0A1S3CE33_CUCME	***	isoflavone reductase-like protein		
OG0025729			Unknown protein		
